13º salário;Christmas bonus
consolidação linha a linha;line-by-line consolidation
consórcio;consortium
consórcio de bancos;bank syndicate
constituir uma pessoa jurídica;incorporate, set up, form a company
construções em andamento;construction in progress
construir;build
consubstanciar, comprovar;substantiate, prove the existence of
consulta;consultation
consultor de investimentos;investment advisor, investment adviser (UK)
consultoria de organização;management consulting
consumidor;consumer
consumidor final;ultimate consumer
consumidor interno;domestic consumer
consumo;consumption
consumo de material;material usage
conta;account
conta bancária;bank account
conta bloqueada;blocked account
conta cativa;captive account
conta congelada;frozen account
conta conjunta;joint account
conta corrente;current account
conta de adiantamento;drawing account, advance account
conta de capital;capital account
conta de cobrança duvidosa;doubtful account
conta de compensação;memorandum account, contra-account
conta de controle;controlling account
conta de correspondentes no país e no exterior (contas do banco com outros bancos);nostro account
conta de depósito a prazo;time deposit account
conta de depósito à vista em banco;demand deposit account
conta de depósito para poupança;savings deposit account
conta de despesa;expense account
conta de lucros e perdas;profit and loss account
conta de poupança;savings account
conta de retenção de correspondência;hold-mail account
conta do resultado;income account
conta em aberto;open account
conta em forma de T;T-account
conta em suspenso;suspense account
conta garantida;secured account
conta inativa;dormant account
conta pessoal;personal account
conta pró-memória;memorandum account
conta subsidiária;subsidiary account, subaccount
conta transitória;suspense account, clearing account
conta vinculada;blocked account
contabilidade;accounting, accountancy
contabilidade a valores atuais;current value accounting
contabilidade criativa;creative accounting
contabilidade de custos;cost accounting
contabilidade fiduciária;fiduciary accounting
contabilidade financeira;financial accounting (=general acc.)
contabilidade geral;general accounting (=financial acc.)
contabilidade gerencial;management accounting
contabilidade industrial;industrial accounting
contabilidade integrada;integrated accounting
contabilidade que leva em conta os efeitos da inflação;inflation accounting
contabilidade tributária;tax accounting
contabilização baseada na competência (de exercícios);accrual basis of accounting
contabilizar;record, account for
"conta-depósito; conta bancária que, geralmente, rende juros";deposit account
contador;accountant
contador auxiliar;junior accountant
contador sênior;senior accountant
contador-geral;chief accountant
contagem cíclica, contagem rotativa;cicle count
contagem de estoques;stock taking (UK), inventory count (USA), stock count (UK)
contagem de valores mobiliários;securities' count
contagens em sistema de rodízio;rotation counts
contagens por teste;test counts
contaminar;taint
conta-movimento;checking account, cash account, deposit account
contas a pagar;accounts payable
contas a pagar a fornecedores;trade accounts payable
contas a receber;accounts receivable
contas a receber com direito a reclamação, contas a receber com direito a recurso;receivables with recourse
contas a receber de bancos;due from banks
contas a receber descontadas;discounted trade receivables
contas a receber negociadas;factored receivables
contas a redeber de clientes;trade accounts receivable
contas canceladas (de clientes falecidos);deceased customers' accounts
contas de comerciantes;merchant accounts
"contas de diretores de funcionários e de empresas de um banco; contas internas";house accounts
contas de realização duvidosa, provisão para devedores duvidosos;allowance for doubtful accounts
contato;contact
contemplar, considerar;contemplate
conteúdo;contents
contingência;contingency
contingência de ganho;gain contingency
contingência fiscal;tax contingency
continuação;continuation
continuar;keep up, carry on
continuidade;continuity
continuidade operacional dos negócios da empresa, continuidade normal dos negócios da empresa;going-concern
contornar;bypass
contrabando;smuggling, contraband
contração de crédito;tightening of credit
contra-entrega;on delivery
contrapartida;balancing item
contrapartida de lançamento;contra entry
contratação;hiring
contratação (de profissional);engagement
contratar pessoal;hire
"contrato (s); contratar (v)";contract (n) (v)
contrato a longo prazo;long-dated contract, long-term contract
contrato a termo;forward contract
contrato à vista;spot contract
contrato chave em mãos;turn-key contract
contrato coletivo de trabalho;collective labor agreement
contrato de câmbio;foreign exchange contract
contrato de câmbio a termo;forward exchange contract
contrato de comodato;free lease agreement
contrato de compra;purchase contract
contrato de dívida;debt agreement
contrato de empréstimo, contrato de financiamento;loan agreement
contrato de futuros;futures contract
contrato de opção;option contract
contrato de paridade de indexadores;index parity contract
contrato de preço fixo;fixed price contract
contrato de vendas;sales contract
contrato por administração;cost-plus contract
contratos de derivativos;derivatives contracts
contratos de moedas no mercado futuro;currency futures contracts
contratos executáveis;enforceable contracts
contribuição de capital;capital contribution
contribuição para a Previdência Social;social security contribution
contribuição para o Financiamento da Seguridade Social (substituta do Finsocial) - COFINS;tax for social security financing (in substitution for Finsocial), social contribution on billings, social investment program
contribuição para o lucro;profit contribution
contribuição social - CS;social contribuition
contribuição social sobre o lucro líquido - CSLL ou CSSL;social contribution on net income
contribuinte (pessoa física);individual taxpayer
contribuinte (pessoa jurídica);corporate taxpayer
controlada;subsidiary, affiliate, affiliated company
controlada em conjunto (empresa);jointly-controlled company
controlador (pessoa que exerce a função de controladoria);controller
controladora;controlling company
controle;control
controle administrativo;administrative control
controle cambial;exchange control
controle compensatório;compensating control
controle contábil;accounting control
controle contábil interno;internal accounting control
controle de custos;cost control
controle de entrada, controle de saída (hotéis);check in, check out
controle de estoques;inventory control
controle de material;material control
controle de poluição;pollution control
controle de produção;production control
controle de qualidade;quality control
controle do razão;ledger control
controle interno;internal control
controle operacional;operational control
controle orçamentário;budgetary control
controles;checks and balances
controles administrativos, controles gerenciais;management controls
controles de detecção;detective controls
controles de preços;price controls
controles de processamento;processing controls
controles diretos;direct controls
controles independentes e da administração;management and independent controls
controles para salvaguardar ativos;controls to safeguard assets
controles preventivos;preventive controls
controles-chave;key controls
convenção (de custo histórico, por exemplo);convention (historical cost convention, for example)
convenção contábil;accounting convention
conversão;conversion, translation
conversão de moeda estrangeira;translation of foreign currency
conversão para moeda estrangeira (de demonstrações financeiras);foreign currency translation (of financial statements)
conversibilidade;convertibility
convicção;confidence
cooperação internacional;international cooperation
cooperativa;cooperative
Coordenação de Informações Econômico-Fiscais - CIEF;Coordination of Fiscal and Economic Information
Coordenação do Sistema de Tributação - CST;Coordination of the Taxation System
Coordenador da Administração do Trabalho - CAT;Coordinator of the Labor Administration
Coordenador do Sistema de Arrecadação - CSA;Coordinator of the Tax Collection System
Corporação Financeira Internacional - IFC;International Finance Corporation - IFC
correção de um erro;correction of an error
correção monetária;monetary restatement, price-level restatement
correio;post office
correio eletrônico;eletronic mail
correio rápido;courier
correr riscos;take risks
correspondente, no país ou no exterior, de outros bancos (contas de outros bancos com o banco) - relações interbancárias ou interdepartamentais;vostro account
corretagem;brokerage
corretor;broker
corretor de investimentos;investment broker
corretor de seguros;insurance broker
corretor de valores;stockbroker, share dealer
corretoras de hipotecas;mortgage banking companies
corte de custos;cost cutting
corte de documentação;cut-off
co-seguro;coinsurance
costume, hábito;common practice
cota;quota
cotação;quotation
cotação abaixo do valor justo;underbid
cotar acima do preço;overrate
cotista;quotaholder
CPF;Individual Tax Registration
creditar;credit
crédito;credit
crédito ampliado;extended credit
crédito ao consumidor;consumer credit
crédito comercial;trade credit
crédito de exportação;export credit
crédito de importação;import credit
crédito de liquidação duvidosa;doubtful debt
crédito diferido;deferred credit
crédito extraordinário;extraordinary credit
crédito fiscal;tax credit
crédito fiscal do exterior;foreign tax credit
crédito irrevogável;errevocable credit
crédito rotativo;revolving credit
créditos documentários;documentary credits
créditos em liquidação;delinquent accounts receivable
créditos garantidos pelo governo;government-guaranteed credits
credor;creditor
credor hipotecário;mortgagee
credor preferencial;preferred creditor
credor quirografário;ordinary creditor
crescer (v);increase (by), is up (by)
crescimento (s);increase, growth
crescimento de consumo;consumption growth
crescimento econômico;economic growth
crise de liquidez;liquidity squeeze
critério, critérios;criterion, criteria
cronograma;time chart, schedule
culpa;fault
cumprir;fill
cumprir (prazos);meet
cupom;coupon
curador;trustee
curso intensivo;crash course
curva de aprendizado;learning curve
curva de freqüência;frequency curve
curva de rendimento;yield curve
custeio;costing
custeio direto;direct costing
custeio marginal;marginal costing
custeio por absorção;absorption costing
custeio por lotes;batch costing
custeio por ordem de produção;job costing
custo;cost
custo acrescido das rendas auferidas;cost plus revenues earned
custo administrado;managed cost
custo amortizado;amortized cost
custo anormal;abnormal cost
custo baseado em processos (atividades);activity-based costing - ABC
custo básico;base cost, basic cost
custo comparativo;comparative cost
custo corrente;current cost
custo das mercadorias vendidas;cost of goods sold, cost of sales
custo de aposentadoria e pensão;pension cost
custo de conversão;conversion cost
custo de distribuição;distribution cost
custo de fabricação;manufacturing cost
custo de inatividade de capital;carrying cost of capital
custo de manuseio;handling charge
custo de mão-de-obra;labor cost
custo de oportunidade;opportunity cost
custo de paralisações;cost of stoppages
custo de pensão do período de emprego anterior à vigência do plano de aposentadoria e pensão;past service pension cost
custo de pessoal;personnel cost
custo de processo contínuo;process cost
custo de produção;production cost, output cost
custo de reposição;replacement cost
custo de serviços (pensões);service cost (pension)
custo de transporte;transportation cost
custo de vendas;cost of sales
custo de vida;cost of living
custo depreciado;depreciated cost
custo diferencial;differential cost
custo direto;direct cost
custo do dinheiro;cost of money
custo e frete - C&F;cost and freight - C&F
custo efetivo;actual cost
custo específico;specific cost
custo fixo;fixed cost
custo histórico;historical cost
custo histórico ajustado ou atualizado;adjusted historical cost
custo imputado;imputed cost
custo incorrido;incurred cost
custo indireto;indirect cost
custo inicial;start-up cost
custo intangível;intangible cost
custo marginal;marginal cost, incremental cost
custo médio;average cost
custo não recuperado;unrecovered cost
custo não-controlável;uncontrollable cost
custo não-expirado;unexpired cost
custo operacional;operating cost
custo original;original cost
custo ou mercado;cost or market
custo ou mercado, o que for menor;lower of cost or market
custo padrão;standard cost
custo primário;prime cost
custo programado;scheduled cost, programmed cost
custo real;actual cost, real cost
custo residual;residual cost
custo suplementar;supplementary cost
custo total;full cost
custo unitário;unit cost
custo variável;variable cost
custo, seguro e frete - CIF;cost, insurance and freight - CIF
custo-benefício;"cost-benefit; value for money"
custódia;custody, safekeeping
custodiante;custodian
custos advocatícios;legal expenses
custos de aquisição;acquisition costs
custos de execução de reparações;costs of performing remediation, costs of performing repairs
custos de exploração;exploration costs
custos de fechamento de uma instalação de produção;shut-down costs
custos de propriedades desocupadas aguardando limpeza;costs of idle site awaiting cleanup
custos de rejeição;rejection costs
custos de reparação do meio ambiente;environmental remediation costs
custos diferidos;deferred costs
custos eventuais;contingent costs
custos fixos que continuam a ser incorridos mesmo depois de cessar a produção;shut-down costs
custos gerais indiretos;overhead costs
custos incidentais;incidental costs
custos inferiores aos previstos;cost underrun
custos pagos antecipadamente;prepaid costs
custos semifixos;semi-fixed costs
custos semivariáveis;semivariable costs
custos superiores aos previstos;cost overrun
dados permanentes;standing data
dados, informações;data
dano;damage
dar ênfase;place emphasis on
dar entrada;enter
dar fé;bear witness
dar poderes (procuração, por exemplo);empower
DARJ;Rio de Janeiro State Tax Payment Form
data da emissão;date of issue
data da transação;trade date
data de efetivação da transação;transaction date
data de encerramento;closing date
data de entrega;delivery date
data de liquidação;settlement date
data de registro;record date, date of record
data de repactuação;repricing date, reset date
data de validade da transação;value date
data de vencimento;due date, maturity date, expiration date
data de vigência;effective date
data do relatório sobre demonstrações financeiras;reporting date
data fatal;deadline
data final;deadline
data-limite;deadline
datar de, é datado de;go back to, date back to
de acordo com a lei;at law
de acordo com isto;hereunder
de direito;de jure
de fato;de facto
de luxo;de luxe
de última hora;last-minute
debênture;debenture
debêntures de fruição;fruition debentures
debitado a menos;undercharged
debitar;debit
debitar à conta de lucros e perdas;"expense; charge to profit and loss"
débito;charge, debit
débito direto em conta (automático);direct debit
débitos de honorários;fee charges
débitos de juros e serviços;interest and fee charges
débitos de serviços;fee charges, service charges
débitos internos;house debits
débitos não-lançados;unposted debits
decepção;disappointment
decisão de fazer ou comprar;make-or-buy decision
Declaração Anual do Movimento Econômico - DAME;Annual Declaration of Economic Movement
declaração de ajuste annual - pessoa física;annual  income tax return-individuals
Declaração de Contribuições e Tributos Federais - DCTF;Declaration of Federal Contributions and Taxes
declaração de falência;adjudication of bankruptcy
declaração de imposto;tax return
declaração de imposto de renda consolidado;consolidated tax return
Declaração de Imposto de Renda na Fonte - DIRF;Declaration of Income Tax at Source
declaração de imposto de renda, declaração de rendimentos;income tax return
Declaração de Informações do Imposto sobre Produtos Industrializados;Declaration of Information on Excise Tax
Declaração de Trânsito Aduaneiro - DTA;Customs Transit Declaration
Declaração do Movimento Econômico-Fiscal - DMEF;Annual Economic Return
declaração exigida de pessoas físicas e jurídicas (por exemplo, de imposto de renda);return
declaração falsa;misrepresentation, falsified return
declaração juramentada, depoimento;affidavit
declaração, antes da emissão do parecer, de que a auditoria não revelou, ou revelou, fatos capazes de afetar o parecer;advance clearance
declarações;representations, returns, filings
declarar constituída a assembléia;call to order
decodificar;decode
decolar (empresa);take off
decreto;decree
Decreto-Lei - DL;Decree-Lay - DL
decurso de prazo;lapse of time
dedução;deduction
dedução fiscal;tax deduction
dedução na fonte;deduction at source
deduções por encargos de família (para imposto de renda);family allowances (income tax)
dedutível, dedutibilidade;deductible, deductibility
deduzir;extract
defasagem;lag
defasagem cambial;understatement of the rate of exchange
defeito;fault
deferimento;granting
deficiência;deficiency, shortfall
deficiências;shortcomings
déficit;deficit
déficit acumulado;accumulated deficit
déficit atuarial;actuarial deficit
déficit comercial;trade deficit
déficit e excedentes de caixa;cash shortages and overages
definição;definition
definitivo;definite
deflação;deflation
defraudação;defraudation, fraud
deixar cair;drop
del credere;del credere
delegação;mandate
delegação de autoridade;delegation of authority
delegação de poderes;delegation of powers
Delegacia da Receita Federal - DRF;Federal Revenue Service - FRS
deliberação;deliberation
demanda;demand
demanda crescente;rising demand
demanda global;overall demand
demanda inelástica;inelastic demand
demissão;dismissal
demissão sem justa causa;unfair dismissal
demitir-se;resign
demoção;demotion
demonstração das mutações no patrimônio líquido;statement of changes in stockholders' equity (USA), statement of changes in shareholders' equity (UK)
demonstração de lucros;statement of earnings
demonstração de lucros acumulados;statement of retained earnings
demonstração de lucros e perdas;income statement, profit and loss statement
demonstração de origem e aplicação de recursos;statement of changes in financial position, statement of changes of  condition
demonstração de saldos por antigüidade;aging list, ageing list
demonstração do resultado;income statement
demonstração dos fluxos de caixa;statement of cash flows
demonstração financeira de pessoa física;personal financial statement
demonstração financeira, demonstração contábil;financial statement, accounting statement
Demonstrações Contábeis Acompanhadas do Parecer dos Auditores Independentes;Financial Statements Together with Report of Independent Public Accountants
demonstrações financeiras básicas;basic financial statements
demonstrações financeiras combinadas, demonstrações contábeis combinadas;combined financial statements
demonstrações financeiras comparadas, demonstrações contábeis comparadas;comparative financial statements, group accounts
demonstrações financeiras condensadas, demonstrações contábeis condensadas;condensed financial statements
demonstrações financeiras consolidadas, demonstrações contábeis consolidadas;consolidated financial statements, group accounts
demonstrações financeiras denominadas em moeda estrangeira, demonstrações contábeis denominadas em moeda estrangeira;financial statements denominated in foreign currency
demonstrações financeiras em moeda de poder aquisitivo constante, demonstrações contábeis em moeda de poder aquisitivo constante;financial statements in constant currency
demonstrações financeiras em moeda estrangeira, demonstrações contábeis em moeda estrangeira;foreign currency financial statements
demonstrações financeiras intermediárias/intercalares, demonstrações contábeis intermediárias/intercalares;interim financial statements
demonstrações financeiras não auditadas, demonstrações contábeis não-auditadas;unaudited financial statements
demonstrações financeiras para fins gerais, demonstrações contábeis para fins gerais;general purpose financial statements
demonstrações financeiras reformuladas/reapresentadas, demonstrações contábeis reformuladas/reapresentadas;restated financial statements
demonstrações financeiras, demonstrações contábeis;financial statements, accounting statements
demonstrações financeiras, demonstrações contábeis para uso geral;all purpose financial statements
demonstrações pro forma;pro forma statements
Demonstrativo de Apuração do Lucro Imobiliário - PF - DALI;Schedule of Gain on Sale of Real Estate - Personal
Demonstrativo do Coeficiente de Redução do Imposto de Importação - DCR;Schedule of Coefficient for Reduction of Import Duty
denominação;denomination
denominação social;company name
densidade;density
dentro do valor de mercado (quando o preço de um papel financeiro está abaixo do valor de mercado);in the money
denúncia;denouncement, accusation
departamentalização;departmentalization
Departamento de Comércio Exterior - DECEX;Foreign Trade Department
departamento de compras;purchase department
departamento de conferências;proof department, checking department
departamento de contabilidade;accounting department
Departamento de Proteção e Defesa do Consumidor - DPDC;Consumers' Protection and Defense Department
Departamento de Registro e Fiscalização do Capital Estrangeiro - FIRCE;Department of Registration and Supervision of Foreign Capital
departamento de treinamento;training department
departamento de vendas;sales department
Departamento do Tesouro Nacional - DTN;National Treasury Department
Departamento Nacional de Prospecção de Mineriais - DNPM;National Department for Mineral Prospecting
Departamento Nacional de Telecomunicações - DENTEL;National Department of Telecommunications
departamento pessoal;personnel department
dependente;dependent
depositante;depositor, bailor
depositar;deposit
depositário;depositary, bailee
depositário (de ações) com poderes (procuração) para votar;voting trust
depósito;"deposit; depot"
depósito a prazo;time deposit, notice account deposit
depósito à vista;demand deposit, sight deposit
Depósito Aduaneiro de Distribuição - DAD;Bonded Distribution Warehouses
depósito bancário;bank deposit
depósito de margem;margin deposit
depósito de poupança;savings deposit
depósito reembolsável;refundable deposit
depósitos bancários vinculados a ações;equity-linked bank deposits
depósitos de prazo em aberto;open time deposit account
depósitos especiais;special deposits
depósitos feitos por corretoras;brokered deposits
depósitos interfinanceiros;interfinancial deposits
depósitos judiciais;judicial deposits
depósitos que rendem juros;interest-bearing deposits
depreciação;depreciation
depreciação acelerada;accelerated depreciation
depreciação acumulada;accumulated depreciation
depreciação linear;straight-line depreciation
depreciar;depreciate
depreciável;depreciable
depressão;depression
depressão econômica;economic depression
deputado;deputy
derivativos;derivatives
derramamento;spillage
desaceleração;slow-down
desacordo;disagreement
desacostumado;unaccustomed
deságio;discount, negative goodwill
desaprovar;disapprove
descapitalizado;undercapitalized, decapitalized
descarregar;unload
descarrilar;derail
descentralização;decentralization
descentralizar;decentralize
descobertas;findings
descobrir;uncover
descompassos no tempo, desequilíbrios no tempo (entre ativos e passivos correlatos);time mismatches
desconfiar;mistrust
descontado com direito a recurso;discounted with recourse
descontar;discount
descontar (cheque);cash in
descontinuação;discontinuation, shut down
desconto;discount, allowance
desconto (deságio) de obrigação ou título de dívida;bond discount
desconto baseado em volume;volume discount
desconto comercial;trade discount
desconto indevido;undue deductions
desconto para pagamento à vista, desconto de caixa;cash discount
desconto perdido, desconto não-aproveitado;lost discount
desconto sobre compras;purchase discount
desconto sobre vendas;sales discount
descontos agressivos, descontos predatórios;predatory discounts
descrédito;discredit
descrever;describe
descrição de cargo;job description
"descuido, desleixo (s); descuidar, desleixar (v)";neglect (n) (v)
descumprimento;non-compliance
desdobramento de contas;breakdown of accounts
desembaraço alfandegário;customs clearance
desembarcar;disembark
desembolso;disbursement, outlay
desembolso de caixa;cash disbursement
desembolsos de capital;capital outlays
desempenho;performance
desempenho de alto nível;high-level performance
desempenho global;overall performance
desempregado;jobless, unemployed
desemprego;unemployment
desenbolsar;spend
desenhar;design
desenvolvimento;development
desenvolvimento de sistemas;systems development
desenvolvimento econômico;economic development
desenvolvimento imobiliário;real estate development
Desenvolvimento Rodoviário S.A. - DERSA;Highway Development Company
desequilíbrio;instability
desequilíbrio econômico;economic distress
desequilíbrio na balança comercial;trade imbalance
desestabilizar;destabilize
desfalque;defalcation, embezzlement
desguarnecer, desmontar;dismantle
designação;assignment
designar;design
designar novamente;reappoint
desistir;quit
desmembramento;dismemberment
desmembramento de ações;split, stock split
desmonetização;demonetization
desnacionalização;denationalization
desobediência;disobedience
desobrigar;release
desonesto;dishonest
despachante alfandegário;customs broker
despachar;dispatch, expedite
despacho;dispatch
desperdício;waste
desperdício normal;normal spoilage
despesa;expense
despesa (benefício) de imposto de renda;income tax expense (benefit)
despesa de cobrança;collection charge
despesa de comercialização;acquisition cost
despesa de entrega;delivery expense
despesa de fabricação;manufacturing expense
despesa de publicidade;advertising expense
despesa de saúde e alimentação;health and food expense
despesa diferida;deferred charge
despesa eventual, despesa não recorrente;non-recurring expense
despesa financeira;financial expense
despesa indireta departamental;departmental overhead
despesa ou crédito de imposto diferido;deferred tax expense or benefit
despesa recorrente;recurring expense
despesas acumuladas a pagar;accrued liabilities
despesas com descarga;landing charges
despesas com desenvolvimento de novos produtos;product development expenses
despesas de escritório;office expenses
despesas de organização;organization expenses
despesas de representação, despesas de entretenimento;entertainment expenses
despesas de venda e administrativas;selling and administrative expenses
despesas de viagem;traveling expenses
despesas desembolsadas;out-of-pocket expenses
despesas diretas de fabricação;direct manufacturing expenses
despesas diversas;sundry expenses, miscellaneous expenses
despesas do exercício (não integrantes dos custos de produção);period costs
despesas gerais;general expenses
despesas gerais indiretas;general indirect expenses, general overhead
despesas gerais indiretas não-absorvidas;unabsorbed burden, unabsorbed overheads
despesas indiretas;"indirect expenses; overheads"
despesas legais;legal expenses
despesas não-operacionais;nonoperating expenses
despesas operacionais;operating expenses
despesas pagas antecipadamente;prepaid expenses
despesas pré-operacionais;pre-operating expenses
desprovido de;lacking
desregulamentação;deregulation
destacável;detachable
"destaque (s); destacar (v)";"highlight (n) (v); detach (v)"
destinação de lucros acumulados;appropriated surplus
destinação de recursos;application of resources
desvalorização;devaluation
desvalorização da moeda;currency devaluation
desvantagem;disadvantage
desvio;switch
desvio padrão;standard deviation
"detalhe (s); detalhar (v)";"detail (n) (v); itemize (v)"
detentor (que detém a posse do bem ou papel negociável);holder
detentor de apólice;policyholder
deterioração;deterioration, impairment
deterioração pelo uso;wear and tear
deturpar;garble
devedor;"debtor (n); receivable (adj)"
devedor hipotecário;mortgager
devedores que pagam com atraso;slow payers
dever (s) (v);"duty (n); owe (v)"
devida diligência;due diligence
devolução;return
devolução de mercadoria ao vendedor;return to vendor
devolução do imposto de renda;income tax return
dia útil, dia da semana;working day, business day, weekday
diário;journal
diário auxiliar;subsidiary journal
diário geral;general journal
Diário Oficial da União - DOU;Official Daily Government Newspaper, Official Federal Gazette - DOU
Dias de carência;days of grace
dias de vendas em contas a receber;number os days' sales in receivables
diferença cambial;exchange difference
diferença no vencimento em tempo de montantes (entre ativos e passivos correlatos);maturity gap
diferença salarial;salary difference
diferença, distinção;difference
diferenças permanentes (entre o lucro contábil e o tributável);permanent differences
diferenças temporárias, diferenças temporais (entre o lucro contábil e o tributável);temporary differences
diferimento;deferment, deferral
diferimento contábil do imposto de renda;interperiod tax allocation
diferir;defer
diferir, divergir;differ
digno de confiança;trustworthy
diluição;dilution
diminuição da jornada, redução da jornada;cutback (in working hours)
diminuir;decrease
dinheiro;money
dinheiro barato;cheap money
dinheiro em caixa;cash on hand
dinheiro ocioso;idle money
dinheiro para gastos pessoais;pocket money
dinheiro reembolsável mediante solicitação do credor;call money
direito;right
direito a voto;voting right
direito adquirido;acquired right, vested right
direito autoral;copyright
direito comercial;commercial law
direito contratual;contractual right
direito de regresso;"rights of recourse; recourse"
direito de subscrição preferencial de acionistas;preferential subscription right
direito líquido e certo;clear legal right
direito mercantil;mercantile law
direitos alfandegários, direitos aduaneiros;customs duties
direitos de lavra;mining rights
direitos de subscrição;subscription rights
direitos especiais de saques - SDR;Special Drawing Rights - SDR
direitos executáveis, direito de regresso;enforceable claims
direitos não-reivindicados;unasserted claim
diretor;director
diretor administrativo;administrative director
diretor financeiro;finance director
diretoria;board of directors
Diretoria de Arrecadação e Fiscalização - DAF;Administration of Tax Collection and Fiscalization
diretor-tesoureiro;treasurer
Diretriz contábil;accounting policy
diretrizes;policies
dirigentes sindicais;union officers
discordância, dissidência;dissent
discordar;disagree
discrepância;discrepancy
discriminação de contas;breakdown of accounts
discriminar;itemize, discriminate
discurso;speech
discutir, debater;discuss
dispêndio;expenditure
dispêndio para aquisição de imobilizado;capital expenditure (CapEx)
dispendioso;costly, expensive
dispensa;waiver
dispensa de empregados;layoff, redundancy
dispensar de um pagamento;discharge
disponibilidade de moeda;money supply
disponível;available funds, cash and banks
dispor de recursos;afford
dispositivos estatutários;statutory provisions
disseminar;sow, disseminate, broadcast
dissídio coletivo;collective labor agreement
dissolução;dissolution
distinção;award
distorcer;distort
distribuição;distribution
distribuição de custos;cost allocation
distribuição de imposto de renda entre períodos contábeis;interperiod tax allocation
distribuição de mão-de-obra (de folha de pagamento);payroll distribution
distribuição de recursos, destinação de recursos;disposition of resources, application of resources
distribuição de renda, redistribuição de renda;income distribution, income redistribution
distribuição do imposto de renda (no regime de competência);allocation of income taxes
distribuidor;distributor
distribuidores de títulos e valores mobiliários;securities dealers
distrito;district
distúrbio, deordem violenta;riot
"ditado (s); ditar (v)";"dictation (n); dictate (v)"
divergência;discrepancy, divergence, disagreement
diversificação;diversification
diversos;sundry, other
dívida;debt
dívida a curto prazo;short-term debt
dívida a longo prazo;long-term debt
dívida a taxa flutuante;floating-rate debt
dívida externa;external debt, crossborder debt
dívida fundada;funded debt
dívida incobrável;bad debt
dívida nacional;national debt
dívida não-corrente;non-current debt
dívida principal;senior debt
dívida pública;public debt
dívida secundária (hipoteca em segundo grau, por exemplo);junior debt
dívida subordinada;subrodinated debt
dividendo;dividend
dividendo cumulativo;cumulative dividend
dividendo declarado;declared dividend
dividendo do final de um exercício;year-end dividend, final dividend
dividendo em dinheiro;cash dividend
dividendo em espécie;dividend in kind
dividendo fixo;fixed dividend
dividendo intermediário, dividendo intercalar;interim dividend
dividendo não-cumulativo;non-cumulative dividend
dividendo não-reclamado;unclaimed dividend
dividendo obrigatório;compulsory dividend
dividendo preferencial;preferred dividend
dividendo proposto;proposed dividend
dividendos a pagar;dividends payable
dividendos atrasados;dividends in arrears
divulgação (informações sobre as demonstrações financeiras geralmente em forma de notas explicativas);disclosure
divulgação adequada;adequate disclosure
divulgação completa, divulgação total;full disclosure
divulgação entre parênteses;parenthetic disclosure
divulgação suplementar;supplemental disclosure
doação, donativo;donation
doador;donor
documentação;documentation
documentação de planejamento detalhado;detailed planning documentation
documentária;documentary
documento (prospecto) que apóia um lançamento de ações;offering memorandum, offering circular, offering prospectus
Documento de Arrecadação de Receitas Federais - DARF;Document for Collection of Federal Income, Receipt of Collection of Federal Income, Federal Tax Payment Form
documento de embarque;shipping document
documento para discussão;discussion paper
documento-fonte, documento de origem;source document
doença profissional;occupational disease
dólar comercial;commercial dollar (import and export)
dólar paralelo;parallel dollar (black market)
dólar turismo;tourism dollar
domicílio;domicile
domicílio legal;legal domicile
domínio absoluto;absolute title
domínio público;public domain
dotação de pessoal;staffing
doutrina;jurisprudence
duodécimos do imposto de renda;monthtly tax installments
duplicata;trade note
duplicata a pagar;trade note payable
duplicata a receber;trade note receivable
duplicata descontada;discounted trade receivable
E comercial;ampersand (&)
econometria;econometrics
economia aquecida;buoyant economy
economia de mercado;market economy
economia de troca;barter economy
economia dirigida;controlled economy
economia em rápida expansão;booming economy
economia estática;static economy
economia estatizada;state-owned economy
economia invisível, economia informal, economia paralela;underground economy
economia madura;mature economy
economia mista;mixed capital
economia, ciência da economia;Economics
economias de escala;economies of scale
edificações e benfeitorias;buildings and improvements
edifício de escritórios;office building
edifícios;buildings
edital de concorrência;call for tender, call for bid
editorial;editorial (press)
educação permanente, continuada;continuing education
efeito cumulativo de mudança em princípio contábil;cumulative effect of a change in accounting principle
efeito multiplicador;multiplier effect
efeito regressivo;backwash effect
efeitos compensatórios;offsetting effects
efeitos pessoais;personal effects
"eficácia; eficaz";"effectiveness; effective"
"eficiência; eficiente";"efffeciency; efficient"
elaboração de políticas ou diretrizes (empresa);policy making
"elegibilidade; elegível";"eligibility; eligible"
elemento;element
elementos de custo;cost elements
eliminação de transações entre empresa do mesmo grupo;elimination of intercompany transactions
eliminar por etapas;phase out
elisão fiscal;tax evasion
em atraso;in arrears
em cascata;cascading
em consignação;on consignment
em exercício (de função);acting
em falta no estoque;out of stock
em licença;on leave
em mãos;on hand
em milhares de ;in thousands of 
em processo (produtos);in process (goods)
em risco;at risk
em risco;at risk
em vigor;in effect
embalagem;packing
embargo;embargo
embarque de produtos;shipment of goods
emborcar;capsize
embutido;built-in
emenda;amendment
emergência;emergency
emigração;emigration
emissão de ações;stock issue
emitente;drawer
emitir um cheque;draw a check
empacotar;package
empilhadeira;forklift truck
empório;mart
empreendedor;entrepreneur
empreendimento;enterprise, venture, undertaking
empreendimento comercial especulativo;venture
empreendimento conjunto;joint venture
empregado de escritório;clerical worker
empregador;employer
empregados;employees
emprego bem-remunerado;big-pay job, highly-paid job
empreitada;piecework
